STT,Trang thu thập,Tên công ty,Vị trí ứng tuyển,Yêu cầu bằng cấp,Yêu cầu kinh nghiệm,Địa điểm,Ngày đăng tuyển,Lương tối thiểu,Lương tối đa,Lương TB,Tên công việc
196,CareerLink,Fois ICT PRO,Nhân viên,Trung học,1,hồ chí minh,2024-12-22,15000000.0,25000000.0,20000000.0,công nghệ thông tin
197,CareerLink,Fois ICT PRO,Nhân viên,Trung cấp,2,hồ chí minh hà nội,2024-12-09,25000000.0,40000000.0,32500000.0,kỹ sư phần mềm
206,CareerLink,FPT Telecom,Nhân viên,Trung cấp,0,quảng bình,2024-12-07,8000000.0,20000000.0,14000000.0,chuyên viên hỗ trợ kỹ thuật
207,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-22,12000000.0,28000000.0,20000000.0,nhà thiết kế
208,CareerLink,Công Ty Cổ Phần Gỗ An Cường,Nhân viên,Cử nhân,2,bình dương,2024-12-06,10000000.0,18000000.0,14000000.0,kỹ sư phần mềm
209,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,khánh hòa,2024-12-06,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
211,CareerLink,Tập Đoàn Vàng Bạc Đá Quý DOJI,Nhân viên,Cử nhân,2,hà nội,2024-12-06,25000000.0,35000000.0,30000000.0,chuyên viên bảo mật thông tin
217,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,đắk lắk,2024-12-25,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
222,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hồ chí minh,2024-12-24,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
223,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-12,10000000.0,17000000.0,13500000.0,kỹ sư phần mềm
227,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,0,hồ chí minh,2024-12-21,10000000.0,12000000.0,11000000.0,kỹ sư kiểm thử phần mềm
231,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hồ chí minh,2024-12-10,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
232,CareerLink,"Mitalab Co.,Ltd",Nhân viên,Cử nhân,0,hà nội,2024-12-17,11000000.0,16500000.0,0.0,kỹ sư kiểm thử phần mềm
233,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-19,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
235,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,hà nội,2024-12-19,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
240,CareerLink,IDEA TECHNOLOGY SOLUTIONS,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-17,10000000.0,13000000.0,11500000.0,kỹ sư thiết kế
242,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,kiên giang,2024-12-15,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
243,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,khánh hòa,2024-12-03,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
245,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,0,hồ chí minh,2024-12-11,9000000.0,10000000.0,9500000.0,kỹ sư hệ thống
246,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,bình định,2024-12-16,5000000.0,10000000.0,7500000.0,chuyên viên hỗ trợ kỹ thuật
247,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,0,hồ chí minh,2024-12-19,6000000.0,10000000.0,8000000.0,kỹ sư kiểm thử phần mềm
248,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,đăk nông,2024-11-26,6000000.0,10000000.0,8000000.0,chuyên viên hỗ trợ kỹ thuật
249,CareerLink,FPT Telecom,Sinh viên / Thực tập sinh,Cử nhân,0,hồ chí minh,2024-12-18,9000000.0,10000000.0,9500000.0,kỹ sư kiểm thử phần mềm
251,CareerLink,CareerLink's Client,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hồ chí minh,2024-12-12,15000000.0,30000000.0,22500000.0,kỹ sư phần mềm
253,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-17,13000000.0,15000000.0,14000000.0,kỹ sư phần mềm
255,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,khánh hòa,2024-12-14,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
257,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Cử nhân,0,hà nội,2024-12-03,9000000.0,12000000.0,10500000.0,chuyên viên hỗ trợ kỹ thuật
258,CareerLink,Công Ty TNHH Seojin Việt Nam,Nhân viên,Cử nhân,0,bắc giang,2024-12-10,10000000.0,25000000.0,17500000.0,chuyên viên hỗ trợ kỹ thuật
261,CareerLink,CareerLink's Client,Quản lý / Trưởng phòng,Cử nhân,2,hồ chí minh,2024-12-23,14000000.0,18000000.0,16000000.0,công nghệ thông tin
263,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,tiền giang,2024-12-16,8000000.0,12000000.0,10000000.0,chuyên viên hỗ trợ kỹ thuật
268,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung học,0,an giang,2024-12-21,8000000.0,10000000.0,9000000.0,chuyên viên hỗ trợ kỹ thuật
271,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,0,hà nội,2024-12-23,20000000.0,25000000.0,22500000.0,kỹ sư phần mềm
272,CareerLink,Công Ty Cổ Phần Bán Lẻ Kỹ Thuật Số FPT,Nhân viên,Trung cấp,0,hà nội,2024-11-26,8000000.0,15000000.0,11500000.0,chuyên viên hỗ trợ kỹ thuật
274,CareerLink,CareerLink's Client,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-26,10000000.0,15000000.0,12500000.0,game operator
275,CareerLink,FPT Education Hồ Chí Minh,Nhân viên,thạc sĩ,2,hồ chí minh,2024-12-26,10000000.0,15000000.0,0.0,giảng viên
276,CareerLink,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN MÁY VIỆT NAM,Nhân viên,Cử nhân,2,hà nội,2024-12-26,15000000.0,18000000.0,16500000.0,nhà phân tích dữ liệu
278,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,9000000.0,26000000.0,,kỹ sư phần mềm
279,CareerLink,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HTI,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-25,20000000.0,35500000.0,0.0,kỹ sư phần mềm
280,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,17000000.0,30000000.0,23500000.0,kỹ sư phần mềm
281,CareerLink,Công ty TNHH Avada Group (Mageplaza),Nhân viên,Cử nhân,1,hà nội,2024-12-25,9000000.0,12000000.0,10500000.0,junior tester
283,CareerLink,Công Ty Cổ Phần Sáng Tạo Trẻ Việt Nam Miichisoft,Mới đi làm,Cử nhân,0,hà nội,2024-12-25,8000000.0,15000000.0,11500000.0,kỹ sư phần mềm
284,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,17000000.0,25000000.0,21000000.0,kỹ sư triển khai voip
286,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,25000000.0,37000000.0,31000000.0,kỹ sư phần mềm
287,CareerLink,CÔNG TY CỔ PHẨN VIETNAM TICKETS,Nhân viên,Cử nhân,2,hồ chí minh,2024-12-25,10000000.0,25000000.0,17500000.0,kỹ sư học máy
289,CareerLink,iCOM Design,Nhân viên,Trung cấp,1,cần thơ,2024-12-25,7000000.0,15000000.0,,nhà phát triển web
290,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,10000000.0,20000000.0,15000000.0,kỹ sư phần mềm
291,CareerLink,Công Ty TNHH Phần mềm DTS Việt Nam,Sinh viên / Thực tập sinh,Cử nhân,0,hà nội,2024-12-25,2000000.0,5000000.0,3500000.0,công nghệ thông tin
293,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-26,17000000.0,25000000.0,21000000.0,kỹ sư phần mềm
294,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hồ chí minh,2024-12-25,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
295,CareerLink,CÔNG TY CỔ PHẦN GIẢI PHÁP KINH DOANH NỀN TẢNG,Nhân viên,Cử nhân,1,hồ chí minh,2024-12-25,22000000.0,35000000.0,28500000.0,kỹ sư phần mềm
298,CareerLink,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ HTI,Nhân viên,Cử nhân,2,hà nội,2024-12-25,20000000.0,30000000.0,0.0,kỹ sư phần mềm
299,CareerLink,Công Ty Cổ Phần Dịch Vụ Và Giải Pháp Xử Lý Dữ Liệu Vbee,Nhân viên,Cử nhân,2,hà nội,2024-12-25,15000000.0,30000000.0,,kỹ sư kiểm thử phần mềm
300,CareerLink,Công Ty TNHH Phần mềm DTS Việt Nam,Nhân viên,Cử nhân,1,hà nội,2024-12-25,12000000.0,25000000.0,18500000.0,kỹ sư phần mềm
302,CareerLink,Công Ty TNHH Phần mềm DTS Việt Nam,Nhân viên,Cử nhân,2,hà nội,2024-12-25,15000000.0,25000000.0,20000000.0,kỹ sư phần mềm
309,CareerLink,CÔNG TY TNHH DAIWA VIỆT NAM,Nhân viên,Cử nhân,0,đà nẵng,2024-12-25,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
314,CareerLink,KHU DU LỊCH SINH THÁI TRÀNG AN,Nhân viên,Trung cấp,1,ninh bình,2024-12-23,8000000.0,20000000.0,14000000.0,chuyên viên hỗ trợ kỹ thuật
317,CareerLink,CÔNG TY TNHH SAINT - HONORE ĐẦU TƯ VÀ THƯƠNG MẠI,Nhân viên,Cử nhân,1,hà nội,2024-12-23,7000000.0,10000000.0,8500000.0,chuyên viên hỗ trợ kỹ thuật
321,CareerLink,Công Ty TNHH Luxstay Việt Nam,Kỹ thuật viên / Kỹ sư,Cử nhân,2,hà nội,2024-12-20,25000000.0,40000000.0,32500000.0,kỹ sư phần mềm
323,CareerLink,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ ĐẦU TƯ THƯƠNG MẠI HOÀNG HÀ,Nhân viên,chứng chỉ,0,lâm đồng,2024-12-21,2300000.0,3000000.0,2650000.0,chuyên viên hỗ trợ kỹ thuật
325,CareerLink,Công Ty Cổ Phần Anvy,Nhân viên,Cử nhân,2,hà nội,2024-12-20,20000000.0,30000000.0,25000000.0,kỹ sư phần mềm
